url,label
https://mcrravlgw.info/login/ileh?redirect=gepgim#yia,phishing
https://aghlsktp.app/nargwy/eoadkkhikp,legitimate
https://lmpcfqmgc.net/bvlh%25wur%25fz%25sfyh/wiw.php?,phishing
https://ncnk.co/login/flhfb?redirect=qjkc,phishing
http://iamzr.io/bdqv/duyq/qyqmeusxpp?page=jQw7v1&q=gy9qHubs&id=rtMi0580xRfWaUOFE,legitimate
https://wbuuls.app/rucq?lang=Q4kBhY0qu5,legitimate
https://www.ppmniym.net/uonkz/tkl/pcuhrswlc?session=1wTVWgB6D1Z&session=jYZNF0xjL3f23oky,legitimate
https://tydieh@mlup.net/gqfcjg/rzu/zzls/lczlmnepe?utm_source=mVMNqcu1,phishing
http://edrpxjfwvk.net,legitimate
https://secure-login.isdp.lmdrwphw.co.uk/qkfjhcst/rarjd/zvqwbbfbs/nkdxhk,phishing
http://tmlfyawte.info/rfo/msmd/wldjg.cgi?session=F9qDudrY9F8#lasc,legitimate
https://asjklnj@ecwliit.info/lti/xgl?,phishing
http://zpkjdne.info/dbarcon/muixkbw/nvk,legitimate
http://sbkl.vip:8592/ppnnghceyj/lox/xlmqcfszvc/greswrwdez/zpou?user=APcTC6SHOlpyb1p1XLPG&id=DPRvFEjHXKdk4Lp,phishing
http://ogdxfkcys.org/ycdygzoelm?page=oyTyRDIGa3QtC,legitimate
http://eyqm.app/fhca/fuvnfq.jsp?ref=a0qxw9xEdCcuFfvGJA&lang=DUxTkuuWm6&id=6l0kce6Ab2kNXCRjji,legitimate
http://ndorbahfbw.com/rmmmbcig/qgfbz?q=NjlDd2DTMoBbEruVzut5&id=dPDKnvXj2Sxley0d&ref=0HyT1ggBCz,legitimate
http://xxovqm.info?session=wM7OhYbfg&ref=84PEBXHOWPG0k0ddW7i&user=sYdN16Nb9qRPa2,legitimate
https://glmtoszq.biz/ini/cxl?ref=SIJhQ4iwfjZpAmxb2Kwl&id=teDSq6XSCPqv&page=BFzmOk7XZBObNHe,legitimate
http://airk.top:8636/qcqevfuqui/dddnpeyp.jsp?token=SYnjMXkoqvlYWzYKS&page=pEHCKd2fpe8H#nusaqxaf,phishing
https://rday.org/qncjh,legitimate
https://lykic@rvzrgxx.org/mhrrazwewp/cqlmixh?#alqyk,phishing
https://wnmmmzbi-roaceh.info/labssuecgo/ojd/plkdj.php,phishing
http://store.qkxibrlhc.net/odofqob/tnarnz/ugsxlup,legitimate
https://qgjit.info/xy%25nwq%25gzg/jjqxpy.php?q=XcV1xC4,phishing
https://tpeebg.app/evejawgrlq/xsasrrqtc?ref=U60Gpn14DxerEAhCM3Q&page=ii740d,legitimate
http://app.mdwnpbd.net/yhamo?lang=yoAtPM5qMTAgyGbXDU,legitimate
https://www.mtrpdk.net/nmikkbq/bzfycrl/amk?utm_source=oH3f3w8tos90Su,legitimate
https://giqtp@biileq.org/dcaesmigah.cgi?token=VcrNGF8kHuj4Y0,phishing
https://qukyr@qwkiugjqyu.io/akylky?q=R1rc1ypXkhUrQr&user=gWG3p9i3JWc&session=o5xxDoaMp0pLeGtSoj3,phishing
http://xwhjpqk.info/kwfzpr/gourhk?page=p71Ik1O3tvdEOk0SGcOh,legitimate
https://bynthkw.io/login/msoz?redirect=qturfmhc,phishing
http://sxgiouwhuu.app/qxjdgyij?token=kpXdKyAadG9v0bla&lang=zOaPsHwpVhIBz6ky8jq,legitimate
http://vcorfbvmmj.co.uk/hno/rcevhzgb.php?utm_source=H7KYxEyTTZwwgp45ST&ref=Lz33VCb&session=QwFX9nBHow,legitimate
http://kyptmesl.co/afajngeb?token=wWQE37a8J53W,legitimate
https://secure-login.soaf.pvjl.io/dmj.php#klawmsaf,phishing
http://portal.kdpnlse.biz/xziksjh/efhg/hgmistn?q=HrlYhIhypp3Zk9fpASe#oknunjzt,legitimate
http://noloxhufj.co/jleys?token=octhqlIc,legitimate
https://swgfbp.io/ff%25ukeh%25bkyi%25jgu/jwwaq.php?page=sIz2Fx&ref=F5Nvp2N5u,phishing
https://uwisbfuut@txxbfdcl.co.uk/usdtndf/mewbrwxt/vpugy?ref=9Uo8OoA&lang=fTT1zLUUNS#koepqfif,phishing
https://xn--vlnsesv.com/dlnd.cgi,phishing
http://pttbfujf.review:8360/yzsbspqrr/clkviak/uyjjvpf/ozm/auawzz.php?#vsci,phishing
http://226.186.16.56/uuk.php?page=TMMZwaY9JVCr6uJhB&q=79rdrQxd7jplfAE,phishing
http://tqsle.co/fwwqmmp/jcxtwfnrb/potfy?token=D17MSJaeRD&page=h2zR8ZhqjczL#sgv,legitimate
https://uquf.org/mgemozo/fgsq?page=RIIw3OlQHckmEzOpt4,legitimate
https://amlllpgz-nbpm.com/rxsyaz/wwla/umnth,phishing
http://gmpxtijb.co.uk/bqbauuhrl/hbsduocb.jsp?page=e2tprdHj#nojg,legitimate
https://zlmiz.org/rpopy%25bj/hca.php?utm_source=BCkBcX9BZCrw&lang=Hnieif5VINuFe3O8rB&utm_source=Hw3oKw#ywxhli,phishing
http://portal.fmeaw.app/gvzxdod/ohootyjk?q=2N6QJ776aXQYfAnVOy&ref=gl0UXrVxrt12xPuRaP&page=OrTe3TKgUCnR,legitimate
http://knvutf.co.uk/swiltjfs/zttrerqhlk?session=QfLNLOPo&q=14uRpJVK&session=Lu3y9dyySh9weqBC,legitimate
https://xn--qrmseydq.com/emjwvfk,phishing
https://secure-login.gsyu.nimmzjzfg.info/ekavc/csbzsgvop.php#pujdn,phishing
https://secure-login.nrxyl.qmmdiarfkf.net/ddrovet/bzowtkolxo,phishing
http://app.mabpkqyuw.io/axxx/gcmkfbpky.jsp,legitimate
https://cjnnyhm-ygext.net/yvxj/glvstx/ympnjvnqj,phishing
https://pfmr.info/jzjcupzxc/eupbievpk?page=HB7agA2cxh&token=2kVtIOzcncp&session=vudz2xoF31xGS,legitimate
http://nxmfcikea.app?user=Da56DaAsoa,legitimate
